Price,Status,Area,Rate Per Sqft,Property Type,Locality,Builder Name,Rera Approval,Bhk_Count,Society,Company Name,Flat Type
10700000,Under Construction,1138,9450,2 BHK Apartment in M3M Antalya Hills Phase I,Sector 79,home,Approved,2,M3M Antalya Hills Phase I,M3M,Apartment
14400000,Under Construction,1528,9450,3 BHK Apartment in M3M Antalya Hills Phase I,Sector 79,Property In Gurgaon,Approved,3,M3M Antalya Hills Phase I,M3M,Apartment
10700000,Under Construction,1138,9450,2 BHK Apartment in M3M Antalya Hills Phase I,Sector 79,properties for sale in Gurgaon,Approved,2,M3M Antalya Hills Phase I,M3M,Apartment
40000000,Ready to move,4500,8888,4 BHK Independent Floor,Sector 57,MM India Pvt Ltd,Not Approved,4,Outside Socity,Outside,Plot
24000000,Under Construction,1800,13333,3 BHK Independent Floor in Anant Raj Estate Plots,Sector 63,MM India Pvt Ltd,Approved,3,Anant Raj Estate Plots,Anant,Floor
63800000,Ready to move,2282,28000,3 BHK Apartment in DLF Park Place,Sector 54,MM India Pvt Ltd,Not Approved,3,DLF Park Place,DLF,Apartment
4500000,Ready to move,920,4891,3 BHK Apartment,Sector 3A,seller,Not Approved,3,Outside Socity,Outside,Plot
4500000,Ready to move,1000,4500,2 BHK Apartment,Sector 69,seller,Not Approved,2,Outside Socity,Outside,Plot
9000000,Ready to move,1250,7200,3 BHK Independent Floor in BPTP Astaire Garden Plots,Sector 70A,seller,Not Approved,3,BPTP Astaire Garden Plots,BPTP,Floor
74900000,Under Construction,3800,19736,4 BHK Apartment in DLF The Arbour,Sector 63,seller,Approved,4,DLF The Arbour,DLF,Apartment
19700000,Under Construction,2390,8250,4 BHK Apartment in Navraj The Antalya,Sector 37D,seller,Approved,4,Navraj The Antalya,Navraj,Apartment
80100000,Under Construction,3956,20253,4 BHK Apartment in DLF The Arbour,Sector 63,seller,Approved,4,DLF The Arbour,DLF,Apartment
13700000,Under Construction,1450,9448,3 BHK Apartment in SS Cendana Residence,Sector 83,Superb Solution Providers Pvt Ltd,Approved,3,SS Cendana Residence,SS,Apartment
22000000,Ready to move,2450,8979,4 BHK Independent Floor,Sector 51,Sharma realtors solution,Not Approved,4,Outside Socity,Outside,Plot
15000000,Under Construction,1205,12448,3 BHK Apartment in Signature Global City 81 Phase 2,Sector 81,SM Realty,Approved,3,Signature Global City 81 Phase 2,Signature,Apartment
44000000,Under Construction,1677,26237,3 BHK Apartment in Adani Brahma Samsara Vilasa,Sector 63,Impex Estates India Private Limited,Approved,3,Adani Brahma Samsara Vilasa,Adani,Apartment
12000000,Ready to move,1430,8391,3 BHK Apartment in Mapsko Casa Bella,Sector 82,Bricksblenders,Not Approved,3,Mapsko Casa Bella,Mapsko,Apartment
52500000,Ready to move,2905,18072,4 BHK Apartment in Tata Primanti,Sector 72,Corvous India Infratech Pvt Ltd,Not Approved,4,Tata Primanti,Tata,Apartment
4600000,Ready to move,720,6388,1 BHK Apartment in Ameya Sapphire Eighty Three,Sector 83,Ayuni Direct Realty,Not Approved,1,Ameya Sapphire Eighty Three,Ameya,Apartment
30000000,Ready to move,2082,14409,3 BHK Apartment in Omaxe The Nile,Sector 49,Sagar,Not Approved,3,Omaxe The Nile,Omaxe,Apartment
9900000,Ready to move,1366,7247,2 BHK Apartment in M3M Woodshire,Sector 107,home,Not Approved,2,M3M Woodshire,M3M,Apartment
45300000,Ready to move,3969,11413,4 BHK Independent Floor in Unitown Trehan Luxury Floor 63,Sector 63,Property In Gurgaon,Not Approved,4,Unitown Trehan Luxury Floor 63,Unitown,Floor
120000000,Ready to move,3500,34285,4 BHK Apartment in DLF The Belaire,Sector 54,properties for sale in Gurgaon,Not Approved,4,DLF The Belaire,DLF,Apartment
35500000,Ready to move,2450,14489,3 BHK Apartment in Puri Emerald Bay,Sector 104,Bhoomi Realtors,Not Approved,3,Puri Emerald Bay,Puri,Apartment
10500000,Ready to move,1000,10500,2 BHK Independent Floor in Signature Global City 92,Sector 92,Keshri Real Tech,Not Approved,2,Signature Global City 92,Signature,Floor
19000000,Ready to move,2365,8033,4 BHK Apartment in Pareena Express Heights,Sector 99A,ANGEL BRICKS,Not Approved,4,Pareena Express Heights,Pareena,Apartment
37000000,Ready to move,1975,18734,4 BHK Apartment in Emaar Emerald Floors Premier,Sector 65,GK Realtors,Not Approved,4,Emaar Emerald Floors Premier,Emaar,Apartment
55000000,Under Construction,1469,37465,4 BHK Apartment in Godrej Aristocrat,Sector 49,Yoga reality,Approved,4,Godrej Aristocrat,Godrej,Apartment
55000000,Under Construction,1469,37465,4 BHK Apartment in Godrej Aristocrat,Sector 49,Gupta Realtors,Approved,4,Godrej Aristocrat,Godrej,Apartment
20000000,Ready to move,2000,10000,3 BHK Independent Floor,Sector 46,Homes solution,Not Approved,3,Outside Socity,Outside,Plot
28000000,Under Construction,1902,14750,3 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,ETHOS PRO REALTORS,Approved,3,M3M Golf Hills Phase 1,M3M,Apartment
26800000,Under Construction,2000,13400,3 BHK Apartment in Trehan Luxury Floors 71,Sector 71,The Assetree,Approved,3,Trehan Luxury Floors 71,Trehan,Apartment
26800000,Under Construction,2000,13400,3 BHK Apartment in Trehan Luxury Floors 71,Sector 71,Bargainer Propmart,Approved,3,Trehan Luxury Floors 71,Trehan,Apartment
27000000,Ready to move,2650,10188,4 BHK Independent Floor in Emaar Emerald Floors Premier,Sector 65,Golden Frog Realty,Not Approved,4,Emaar Emerald Floors Premier,Emaar,Floor
5700000,Ready to move,632,9018,2 BHK Apartment in Signature Global Orchard Avenue,Sector 93,shree associate,Not Approved,2,Signature Global Orchard Avenue,Signature,Apartment
25000000,Ready to move,1950,12820,3 BHK Independent Floor in Raheja Sushant Lok 1 Floors,Sector 43,Khatri properties solution,Not Approved,3,Raheja Sushant Lok 1 Floors,Raheja,Floor
28000000,Under Construction,1902,14750,3 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,Urbankasa,Approved,3,M3M Golf Hills Phase 1,M3M,Apartment
26800000,Under Construction,2000,13400,3 BHK Apartment in Trehan Luxury Floors 71,Sector 71,PAARTH REALTY,Approved,3,Trehan Luxury Floors 71,Trehan,Apartment
12600000,Under Construction,1055,12000,2 BHK Apartment in Signature Global City 79 B,Sector 79,Mehta Real Estate,Approved,2,Signature Global City 79 B,Signature,Apartment
28000000,Under Construction,1902,14750,3 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,Empire Landbase,Approved,3,M3M Golf Hills Phase 1,M3M,Apartment
21100000,Ready to move,1046,20200,2 BHK Apartment in Godrej Air,Sector 85,home,Not Approved,2,Godrej Air,Godrej,Apartment
28000000,Under Construction,1902,14750,3 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,Property In Gurgaon,Approved,3,M3M Golf Hills Phase 1,M3M,Apartment
28000000,Under Construction,1902,14750,3 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,properties for sale in Gurgaon,Approved,3,M3M Golf Hills Phase 1,M3M,Apartment
45000000,Ready to move,3400,13235,4 BHK Independent Floor in Today Developer 6,DLF Phase 2,Akhilesh Sharma,Not Approved,4,Today Developer 6,Today,Floor
26800000,Under Construction,2000,13400,3 BHK Apartment in Trehan Luxury Floors 71,Sector 71,SevenRealtys,Approved,3,Trehan Luxury Floors 71,Trehan,Apartment
37600000,Under Construction,1795,21000,3 BHK Apartment in M3M M3M Crown,Sector 111,Accurate Realty Venture Private Limited,Approved,3,M3M M3M Crown,M3M,Apartment
28000000,Under Construction,1902,14750,3 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,Today Associates,Approved,3,M3M Golf Hills Phase 1,M3M,Apartment
48000000,Ready to move,2802,17130,3 BHK Apartment in Experion Windchants,Sector 112,Chirag khatri,Not Approved,3,Experion W,Experion,Apartment
12000000,Ready to move,1322,9077,2 BHK Apartment in Umang Winter Hills,Sector 77,Khushi Housing Solutions Pvt Ltd,Not Approved,2,Umang W,Umang,Apartment
14500000,Ready to move,1490,9731,2 BHK Apartment in Godrej 101,Sector 79,True blue Advisers,Not Approved,2,Godrej 101,Godrej,Apartment
41000000,Ready to move,2185,18764,3 BHK Apartment,Sector 72,Rising Realtors,Not Approved,3,Outside Socity,Outside,Plot
14900000,Ready to move,1822,8177,3 BHK Apartment in Umang Winter Hills,Sector 77,Get Home Fix,Not Approved,3,Umang W,Umang,Apartment
22500000,Under Construction,1829,12301,3 BHK Apartment in Godrej Air,Sector 85,Arihant dream homes,Approved,3,Godrej Air,Godrej,Apartment
45000000,Ready to move,3762,11961,4 BHK Independent Floor in Raheja Sushant Lok 1 Floors,Sector 43,Neer Me Consultant,Not Approved,4,Raheja Sushant Lok 1 Floors,Raheja,Floor
29000000,Under Construction,1855,15633,3 BHK Apartment in Godrej Meridien,Sector 106,Sansiddhi Homes,Approved,3,Godrej Meridien,Godrej,Apartment
28000000,Ready to move,2162,12950,4 BHK Apartment in Shapoorji Pallonji Joyville Phase 1,Sector 102,Gateway Realty,Not Approved,4,Shapoorji Pallonji Joyville Phase 1,Shapoorji,Apartment
27500000,Ready to move,2103,13076,3 BHK Apartment in DLF The Primus,Sector 82A,Neeraj Co,Not Approved,3,DLF The Primus,DLF,Apartment
34000000,Under Construction,1967,17300,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Gromax India,Approved,3,Krisumi Waterfall Residences,Krisumi,Apartment
6200000,Under Construction,765,8104,2 BHK Independent House,Sector 104,Sunrise Property Consultants,Not Approved,2,Outside Socity,Outside,Plot
28000000,Under Construction,1902,14750,3 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,AG Luxury Abodes,Approved,3,M3M Golf Hills Phase 1,M3M,Apartment
27000000,Ready to move,4500,6000,4 BHK Independent Floor in Reputed Builder Sushant Lok 3,Sector 57,home,Not Approved,4,Reputed Builder Sushant Lok 3,Reputed,Floor
4900000,Ready to move,575,8521,2 BHK Apartment,Sector 93,Property In Gurgaon,Not Approved,2,Outside Socity,Outside,Plot
14500000,Under Construction,1751,8280,3 BHK Apartment in Eldeco Acclaim,Sector 2 Sohna,properties for sale in Gurgaon,Approved,3,Eldeco Acclaim,Eldeco,Apartment
18500000,Ready to move,1550,11935,2 BHK Apartment in Puri Emerald Bay,Sector 104,Paramount Associates,Not Approved,2,Puri Emerald Bay,Puri,Apartment
1970000,Under Construction,220,8954,1 RK Studio Apartment in DLF Magnolias,Sector 42,N S ASSOCIATES,Approved,1,DLF Magnolias,DLF,Apartment
17100000,Under Construction,921,18566,1 BHK Apartment in Krisumi Waterfall Suites,Sector 36A,MAS Infra,Approved,1,Krisumi Waterfall Suites,Krisumi,Apartment
19300000,Ready to move,1840,10500,3 BHK Independent Floor in Ahuja Builders 4,Sector 23 Gurgaon,Mangalam infratech,Not Approved,3,Ahuja Builders 4,Ahuja,Floor
12500000,Under Construction,1454,8629,3 BHK Independent Floor in Landmark Avana 1st Phase,Sector 95,MAA KARNI PROPERTIES,Approved,3,Landmark Avana 1st Phase,Landmark,Floor
28500000,Ready to move,2010,14179,4 BHK Apartment in Tulip Violet,Sector 69,Surya Homes Developers,Not Approved,4,Tulip Violet,Tulip,Apartment
25000000,Ready to move,2660,9398,3 BHK Apartment in Bestech Park View Grand Spa,Sector 81,SMART HOMZZ,Not Approved,3,Bestech Park View Grand Spa,Bestech,Apartment
22500000,Ready to move,2215,10158,4 BHK Apartment in DLF Regal Gardens,Sector 90,WADHWA REALTORS,Not Approved,4,DLF Regal Gardens,DLF,Apartment
