Price,Status,Area,Rate per sqft,Property Type,Locality,Builder Name,RERA Approval,BHK_Count,Socity,Company Name,Flat Type
10700000.0,Under Construction,1138,"9,450 ",2 BHK Apartment in M3M Antalya Hills Phase I,Sector 79,home,Approved by RERA,2.0, M3M Antalya Hills Phase I,M3M,Apartment
14400000.0,Under Construction,1528,"9,450 ",3 BHK Apartment in M3M Antalya Hills Phase I,Sector 79,Property In Gurgaon,Approved by RERA,3.0, M3M Antalya Hills Phase I,M3M,Apartment
10700000.0,Under Construction,1138,"9,450 ",2 BHK Apartment in M3M Antalya Hills Phase I,Sector 79,properties for sale in Gurgaon,Approved by RERA,2.0, M3M Antalya Hills Phase I,M3M,Apartment
40000000.0,Ready to move,4500,"8,888 ",4 BHK Independent Floor,Sector 57,MM India Pvt Ltd,Not approved by RERA,4.0,Outside Socity,Outside,Plot
24000000.0,Under Construction,1800,"13,333 ",3 BHK Independent Floor in Anant Raj Estate Plots,Sector 63,MM India Pvt Ltd,Approved by RERA,3.0, Anant Raj Estate Plots,Anant,Floor
63800000.0,Ready to move,2282,"28,000 ",3 BHK Apartment in DLF Park Place,Sector 54,MM India Pvt Ltd,Not approved by RERA,3.0, DLF Park Place,DLF,Apartment
4500000.0,Ready to move,920,"4,891 ",3 BHK Apartment,Sector 3A,seller,Not approved by RERA,3.0,Outside Socity,Outside,Plot
4500000.0,Ready to move,1000,"4,500 ",2 BHK Apartment,Sector 69,seller,Not approved by RERA,2.0,Outside Socity,Outside,Plot
9000000.0,Ready to move,1250,"7,200 ",3 BHK Independent Floor in BPTP Astaire Garden Plots,Sector 70A,seller,Not approved by RERA,3.0, BPTP Astaire Garden Plots,BPTP,Floor
74900000.0,Under Construction,3800,"19,736 ",4 BHK Apartment in DLF The Arbour,Sector 63,seller,Approved by RERA,4.0, DLF The Arbour,DLF,Apartment
19700000.0,Under Construction,2390,"8,250 ",4 BHK Apartment in Navraj The Antalya,Sector 37D,seller,Approved by RERA,4.0, Navraj The Antalya,Navraj,Apartment
80100000.0,Under Construction,3956,"20,253 ",4 BHK Apartment in DLF The Arbour,Sector 63,seller,Approved by RERA,4.0, DLF The Arbour,DLF,Apartment
13700000.000000002,Under Construction,1450,"9,448 ",3 BHK Apartment in SS Cendana Residence,Sector 83,Superb Solution Providers Pvt Ltd,Approved by RERA,3.0, SS Cendana Residence,SS,Apartment
22000000.0,Ready to move,2450,"8,979 ",4 BHK Independent Floor,Sector 51,Sharma realtors solution,Not approved by RERA,4.0,Outside Socity,Outside,Plot
15000000.0,Under Construction,1205,"12,448 ",3 BHK Apartment in Signature Global City 81 Phase 2,Sector 81,SM Realty,Approved by RERA,3.0, Signature Global City 81 Phase 2,Signature,Apartment
44000000.0,Under Construction,1677,"26,237 ",3 BHK Apartment in Adani Brahma Samsara Vilasa,Sector 63,Impex Estates India Private Limited,Approved by RERA,3.0, Adani Brahma Samsara Vilasa,Adani,Apartment
12000000.0,Ready to move,1430,"8,391 ",3 BHK Apartment in Mapsko Casa Bella,Sector 82,Bricksblenders,Not approved by RERA,3.0, Mapsko Casa Bella,Mapsko,Apartment
52500000.0,Ready to move,2905,"18,072 ",4 BHK Apartment in Tata Primanti,Sector 72,Corvous India Infratech Pvt Ltd,Not approved by RERA,4.0, Tata Primanti,Tata,Apartment
4600000.0,Ready to move,720,"6,388 ",1 BHK Apartment in Ameya Sapphire Eighty Three,Sector 83,Ayuni Direct Realty,Not approved by RERA,1.0, Ameya Sapphire Eighty Three,Ameya,Apartment
30000000.0,Ready to move,2082,"14,409 ",3 BHK Apartment in Omaxe The Nile,Sector 49,Sagar,Not approved by RERA,3.0, Omaxe The Nile,Omaxe,Apartment
9900000.0,Ready to move,1366,"7,247 ",2 BHK Apartment in M3M Woodshire,Sector 107,home,Not approved by RERA,2.0, M3M Woodshire,M3M,Apartment
45300000.0,Ready to move,3969,"11,413 ",4 BHK Independent Floor in Unitown Trehan Luxury Floor 63,Sector 63,Property In Gurgaon,Not approved by RERA,4.0, Unitown Trehan Luxury Floor 63,Unitown,Floor
120000000.0,Ready to move,3500,"34,285 ",4 BHK Apartment in DLF The Belaire,Sector 54,properties for sale in Gurgaon,Not approved by RERA,4.0, DLF The Belaire,DLF,Apartment
35500000.0,Ready to move,2450,"14,489 ",3 BHK Apartment in Puri Emerald Bay,Sector 104,Bhoomi Realtors,Not approved by RERA,3.0, Puri Emerald Bay,Puri,Apartment
10500000.0,Ready to move,1000,"10,500 ",2 BHK Independent Floor in Signature Global City 92,Sector 92,Keshri Real Tech,Not approved by RERA,2.0, Signature Global City 92,Signature,Floor
19000000.0,Ready to move,2365,"8,033 ",4 BHK Apartment in Pareena Express Heights,Sector 99A,ANGEL BRICKS,Not approved by RERA,4.0, Pareena Express Heights,Pareena,Apartment
37000000.0,Ready to move,1975,"18,734 ",4 BHK Apartment in Emaar Emerald Floors Premier,Sector 65,GK Realtors,Not approved by RERA,4.0, Emaar Emerald Floors Premier,Emaar,Apartment
55000000.0,Under Construction,1469,"37,465 ",4 BHK Apartment in Godrej Aristocrat,Sector 49,Yoga reality,Approved by RERA,4.0, Godrej Aristocrat,Godrej,Apartment
55000000.0,Under Construction,1469,"37,465 ",4 BHK Apartment in Godrej Aristocrat,Sector 49,Gupta Realtors,Approved by RERA,4.0, Godrej Aristocrat,Godrej,Apartment
20000000.0,Ready to move,2000,"10,000 ",3 BHK Independent Floor,Sector 46,Homes solution,Not approved by RERA,3.0,Outside Socity,Outside,Plot
28000000.0,Under Construction,1902,"14,750 ",3 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,ETHOS PRO REALTORS,Approved by RERA,3.0, M3M Golf Hills Phase 1,M3M,Apartment
26800000.0,Under Construction,2000,"13,400 ",3 BHK Apartment in Trehan Luxury Floors 71,Sector 71,The Assetree,Approved by RERA,3.0, Trehan Luxury Floors 71,Trehan,Apartment
26800000.0,Under Construction,2000,"13,400 ",3 BHK Apartment in Trehan Luxury Floors 71,Sector 71,Bargainer Propmart,Approved by RERA,3.0, Trehan Luxury Floors 71,Trehan,Apartment
27000000.0,Ready to move,2650,"10,188 ",4 BHK Independent Floor in Emaar Emerald Floors Premier,Sector 65,Golden Frog Realty,Not approved by RERA,4.0, Emaar Emerald Floors Premier,Emaar,Floor
5700000.0,Ready to move,632,"9,018 ",2 BHK Apartment in Signature Global Orchard Avenue,Sector 93,shree associate,Not approved by RERA,2.0, Signature Global Orchard Avenue,Signature,Apartment
25000000.0,Ready to move,1950,"12,820 ",3 BHK Independent Floor in Raheja Sushant Lok 1 Floors,Sector 43,Khatri properties solution,Not approved by RERA,3.0, Raheja Sushant Lok 1 Floors,Raheja,Floor
